CREATEDAT,DATE,EVENT,ID,USERID
2021-03-03 03:14:21.000,2021-03-03 00:00:00.000,subscribe,271175,30100
2021-03-03 03:04:31.000,2021-03-03 00:00:00.000,subscribe,271171,30099
2021-03-03 03:37:00.000,2021-03-03 00:00:00.000,subscribe,271181,30104
2021-03-03 03:44:35.000,2021-03-03 00:00:00.000,subscribe,271185,30107
2021-03-03 03:31:00.000,2021-03-03 00:00:00.000,subscribe,271180,30103
2021-03-03 03:39:09.000,2021-03-03 00:00:00.000,subscribe,271184,30106
2021-03-03 03:37:59.000,2021-03-03 00:00:00.000,subscribe,271183,30105
2021-03-03 03:48:08.000,2021-03-03 00:00:00.000,subscribe,271186,30108
2021-03-03 04:38:12.000,2021-03-03 00:00:00.000,subscribe,271196,30109
2021-03-03 04:38:36.000,2021-03-03 00:00:00.000,subscribe,271197,30110
2021-03-03 04:39:46.000,2021-03-03 00:00:00.000,subscribe,271198,30111
2021-03-03 05:09:07.000,2021-03-03 00:00:00.000,subscribe,271199,30112
2021-03-03 05:14:02.000,2021-03-03 00:00:00.000,subscribe,271200,30113
2021-03-03 05:31:58.000,2021-03-03 00:00:00.000,subscribe,271201,30114
2021-03-03 05:45:53.000,2021-03-03 00:00:00.000,subscribe,271202,30115
2021-03-03 06:22:08.000,2021-03-03 00:00:00.000,subscribe,271203,30116
2021-03-03 09:34:11.000,2021-03-03 00:00:00.000,subscribe,271205,30117
2021-03-03 10:45:00.000,2021-03-03 00:00:00.000,subscribe,271210,30118
2021-03-03 11:36:23.000,2021-03-03 00:00:00.000,subscribe,271212,30119
2021-03-03 11:51:19.000,2021-03-03 00:00:00.000,subscribe,271215,30120
2021-03-03 11:59:51.000,2021-03-03 00:00:00.000,subscribe,271218,30121
2021-03-03 12:05:05.000,2021-03-03 00:00:00.000,subscribe,271219,30122
2021-03-03 12:28:36.000,2021-03-03 00:00:00.000,subscribe,271220,30123
2021-03-03 12:35:10.000,2021-03-03 00:00:00.000,subscribe,271221,30124
2021-03-03 12:36:31.000,2021-03-03 00:00:00.000,subscribe,271222,30125
2021-03-03 12:53:49.000,2021-03-03 00:00:00.000,subscribe,271225,30126
2021-03-03 13:36:49.000,2021-03-03 00:00:00.000,subscribe,271228,30127
2021-03-03 13:44:08.000,2021-03-03 00:00:00.000,subscribe,271229,30128
2021-03-03 14:17:55.000,2021-03-03 00:00:00.000,subscribe,271236,30134
2021-03-03 14:16:09.000,2021-03-03 00:00:00.000,subscribe,271235,30133
2021-03-03 14:13:17.000,2021-03-03 00:00:00.000,subscribe,271234,30132
2021-03-03 14:04:45.000,2021-03-03 00:00:00.000,subscribe,271233,30131
2021-03-03 13:44:45.000,2021-03-03 00:00:00.000,subscribe,271230,30129
2021-03-03 13:59:22.000,2021-03-03 00:00:00.000,subscribe,271232,30130
2021-03-03 14:29:12.000,2021-03-03 00:00:00.000,subscribe,271239,30135
2021-03-03 14:31:16.000,2021-03-03 00:00:00.000,subscribe,271240,30136
2021-03-03 14:42:33.000,2021-03-03 00:00:00.000,subscribe,271242,30137
2021-03-03 14:54:40.000,2021-03-03 00:00:00.000,subscribe,271243,30138
2021-03-03 15:10:19.000,2021-03-03 00:00:00.000,subscribe,271244,30142
2021-03-03 15:12:19.000,2021-03-03 00:00:00.000,subscribe,271245,30143
2021-03-03 15:14:17.000,2021-03-03 00:00:00.000,subscribe,271246,30144
2021-03-03 15:16:14.000,2021-03-03 00:00:00.000,subscribe,271247,30145
2021-03-03 15:30:42.000,2021-03-03 00:00:00.000,subscribe,271249,30146
2021-03-03 15:44:56.000,2021-03-03 00:00:00.000,subscribe,271251,30147
2021-03-03 15:49:57.000,2021-03-03 00:00:00.000,subscribe,271252,30148
2021-03-03 15:56:13.000,2021-03-03 00:00:00.000,subscribe,271253,30149
2021-03-03 16:05:12.000,2021-03-03 00:00:00.000,subscribe,271254,30150
2021-03-03 16:25:14.000,2021-03-03 00:00:00.000,subscribe,271259,30153
2021-03-03 16:27:32.000,2021-03-03 00:00:00.000,subscribe,271263,30155
2021-03-03 16:27:12.000,2021-03-03 00:00:00.000,subscribe,271262,30154
2021-03-03 16:24:59.000,2021-03-03 00:00:00.000,subscribe,271258,30152
2021-03-03 16:37:23.000,2021-03-03 00:00:00.000,subscribe,271267,30157
2021-03-03 16:30:04.000,2021-03-03 00:00:00.000,subscribe,271266,30156
2021-03-03 16:20:22.000,2021-03-03 00:00:00.000,subscribe,271257,30151
2021-03-03 16:43:09.000,2021-03-03 00:00:00.000,subscribe,271268,30158
2021-03-03 17:24:15.000,2021-03-03 00:00:00.000,subscribe,271276,30160
2021-03-03 17:23:02.000,2021-03-03 00:00:00.000,subscribe,271275,30159
2021-03-03 18:04:35.000,2021-03-03 00:00:00.000,subscribe,271284,30161
2021-03-03 18:18:32.000,2021-03-03 00:00:00.000,subscribe,271286,30162
2021-03-03 18:26:49.000,2021-03-03 00:00:00.000,subscribe,271288,30163
2021-03-03 19:11:53.000,2021-03-03 00:00:00.000,subscribe,271296,30169
2021-03-03 18:55:24.000,2021-03-03 00:00:00.000,subscribe,271291,30164
2021-03-03 19:06:15.000,2021-03-03 00:00:00.000,subscribe,271293,30166
2021-03-03 19:10:47.000,2021-03-03 00:00:00.000,subscribe,271295,30168
2021-03-03 19:10:12.000,2021-03-03 00:00:00.000,subscribe,271294,30167
2021-03-03 18:59:42.000,2021-03-03 00:00:00.000,subscribe,271292,30165
2021-03-03 19:16:01.000,2021-03-03 00:00:00.000,subscribe,271297,30170
2021-03-03 19:25:23.000,2021-03-03 00:00:00.000,subscribe,271298,30171
2021-03-03 19:52:44.000,2021-03-03 00:00:00.000,subscribe,271300,30172
2021-03-03 19:52:50.000,2021-03-03 00:00:00.000,subscribe,271301,30173
2021-03-03 19:54:33.000,2021-03-03 00:00:00.000,subscribe,271302,30174
2021-03-03 20:22:29.000,2021-03-03 00:00:00.000,subscribe,271304,30175
2021-03-03 20:32:50.000,2021-03-03 00:00:00.000,subscribe,271305,30176
2021-03-03 20:33:24.000,2021-03-03 00:00:00.000,subscribe,271306,30177
2021-03-03 20:45:42.000,2021-03-03 00:00:00.000,subscribe,271307,30178
2021-03-03 20:50:58.000,2021-03-03 00:00:00.000,subscribe,271308,30179
2021-03-03 20:56:24.000,2021-03-03 00:00:00.000,subscribe,271309,30180
2021-03-03 21:06:16.000,2021-03-03 00:00:00.000,subscribe,271310,30181
2021-03-03 21:08:30.000,2021-03-03 00:00:00.000,subscribe,271311,30182
2021-03-03 21:21:19.000,2021-03-03 00:00:00.000,subscribe,271314,30183
2021-03-03 21:27:20.000,2021-03-03 00:00:00.000,subscribe,271315,30184
2021-03-03 21:30:48.000,2021-03-03 00:00:00.000,subscribe,271316,30185
2021-03-03 21:38:39.000,2021-03-03 00:00:00.000,subscribe,271318,30186
2021-03-03 21:51:18.000,2021-03-03 00:00:00.000,subscribe,271319,30187
2021-03-03 22:02:54.000,2021-03-03 00:00:00.000,subscribe,271320,30188
2021-03-03 22:15:37.000,2021-03-03 00:00:00.000,subscribe,271322,30189
2021-03-03 22:27:19.000,2021-03-03 00:00:00.000,subscribe,271323,30190
2021-03-03 22:46:00.000,2021-03-03 00:00:00.000,subscribe,271324,30191
2021-03-03 23:09:15.000,2021-03-03 00:00:00.000,subscribe,271326,30192
2021-03-03 23:18:23.000,2021-03-03 00:00:00.000,subscribe,271328,30193
2021-03-03 23:30:04.000,2021-03-03 00:00:00.000,subscribe,271334,30199
2021-03-03 23:25:53.000,2021-03-03 00:00:00.000,subscribe,271330,30195
2021-03-03 23:27:19.000,2021-03-03 00:00:00.000,subscribe,271332,30197
2021-03-03 23:40:34.000,2021-03-03 00:00:00.000,subscribe,271335,30200
2021-03-03 23:26:33.000,2021-03-03 00:00:00.000,subscribe,271331,30196
2021-03-03 23:20:54.000,2021-03-03 00:00:00.000,subscribe,271329,30194
2021-03-03 23:27:23.000,2021-03-03 00:00:00.000,subscribe,271333,30198
2021-03-03 23:40:48.000,2021-03-03 00:00:00.000,subscribe,271336,30201
2021-03-03 23:58:00.000,2021-03-03 00:00:00.000,subscribe,271337,30202
2021-03-04 00:15:01.000,2021-03-04 00:00:00.000,subscribe,271338,30203
2021-03-04 00:15:49.000,2021-03-04 00:00:00.000,subscribe,271339,30204
2021-03-04 00:26:38.000,2021-03-04 00:00:00.000,subscribe,271340,30205
2021-03-04 00:32:19.000,2021-03-04 00:00:00.000,subscribe,271342,30206
2021-03-04 01:05:38.000,2021-03-04 00:00:00.000,subscribe,271351,30214
2021-03-04 01:09:03.000,2021-03-04 00:00:00.000,subscribe,271352,30215
2021-03-04 01:04:29.000,2021-03-04 00:00:00.000,subscribe,271350,30213
2021-03-04 01:21:57.000,2021-03-04 00:00:00.000,subscribe,271356,30218
2021-03-04 00:55:58.000,2021-03-04 00:00:00.000,subscribe,271347,30210
2021-03-04 01:02:02.000,2021-03-04 00:00:00.000,subscribe,271349,30212
2021-03-04 00:55:44.000,2021-03-04 00:00:00.000,subscribe,271345,30208
2021-03-04 00:55:49.000,2021-03-04 00:00:00.000,subscribe,271346,30209
2021-03-04 01:22:08.000,2021-03-04 00:00:00.000,subscribe,271357,30219
2021-03-04 01:12:56.000,2021-03-04 00:00:00.000,subscribe,271353,30216
2021-03-04 00:57:33.000,2021-03-04 00:00:00.000,subscribe,271348,30211
2021-03-04 00:47:56.000,2021-03-04 00:00:00.000,subscribe,271344,30207
2021-03-04 01:14:14.000,2021-03-04 00:00:00.000,subscribe,271355,30217
2021-03-04 01:24:00.000,2021-03-04 00:00:00.000,subscribe,271359,30220
2021-03-04 01:35:43.000,2021-03-04 00:00:00.000,subscribe,271361,30221
2021-03-04 01:38:21.000,2021-03-04 00:00:00.000,subscribe,271362,30222
2021-03-04 01:43:35.000,2021-03-04 00:00:00.000,subscribe,271363,30223
2021-03-04 01:52:16.000,2021-03-04 00:00:00.000,subscribe,271364,30224
2021-03-04 01:52:38.000,2021-03-04 00:00:00.000,subscribe,271365,30225
2021-03-04 02:20:55.000,2021-03-04 00:00:00.000,subscribe,271372,30229
2021-03-04 01:54:21.000,2021-03-04 00:00:00.000,subscribe,271366,30226
2021-03-04 02:00:41.000,2021-03-04 00:00:00.000,subscribe,271367,30227
2021-03-04 02:06:47.000,2021-03-04 00:00:00.000,subscribe,271370,30228
2021-03-04 02:35:13.000,2021-03-04 00:00:00.000,subscribe,271376,30232
2021-03-04 02:44:43.000,2021-03-04 00:00:00.000,subscribe,271387,30234
2021-03-04 02:42:37.000,2021-03-04 00:00:00.000,subscribe,271382,30233
2021-03-04 02:31:43.000,2021-03-04 00:00:00.000,subscribe,271375,30231
2021-03-04 02:21:24.000,2021-03-04 00:00:00.000,subscribe,271373,30230
2021-03-04 03:03:36.000,2021-03-04 00:00:00.000,subscribe,271391,30236
2021-03-04 03:12:36.000,2021-03-04 00:00:00.000,subscribe,271395,30237
2021-03-04 02:48:51.000,2021-03-04 00:00:00.000,subscribe,271388,30235
2021-03-04 03:17:58.000,2021-03-04 00:00:00.000,subscribe,271398,30239
2021-03-04 03:17:22.000,2021-03-04 00:00:00.000,subscribe,271397,30238
2021-03-04 03:34:48.000,2021-03-04 00:00:00.000,subscribe,271400,30240
2021-03-04 03:35:13.000,2021-03-04 00:00:00.000,subscribe,271401,30241
2021-03-04 03:43:13.000,2021-03-04 00:00:00.000,subscribe,271402,30242
2021-03-04 03:58:12.000,2021-03-04 00:00:00.000,subscribe,271403,30243
2021-03-04 03:58:35.000,2021-03-04 00:00:00.000,subscribe,271404,30244
2021-03-04 04:09:35.000,2021-03-04 00:00:00.000,subscribe,271406,30245
2021-03-04 04:28:15.000,2021-03-04 00:00:00.000,subscribe,271407,30246
2021-03-04 04:36:04.000,2021-03-04 00:00:00.000,subscribe,271408,30247
2021-03-04 04:41:53.000,2021-03-04 00:00:00.000,subscribe,271409,30248
2021-03-04 04:58:45.000,2021-03-04 00:00:00.000,subscribe,271410,30249
2021-03-04 04:59:53.000,2021-03-04 00:00:00.000,subscribe,271411,30250
2021-03-04 05:12:58.000,2021-03-04 00:00:00.000,subscribe,271412,30251
2021-03-04 05:26:02.000,2021-03-04 00:00:00.000,subscribe,271414,30252
2021-03-04 05:46:22.000,2021-03-04 00:00:00.000,subscribe,271415,30253
2021-03-04 05:58:37.000,2021-03-04 00:00:00.000,subscribe,271416,30254
2021-03-04 06:24:37.000,2021-03-04 00:00:00.000,subscribe,271417,30255
2021-03-04 07:15:06.000,2021-03-04 00:00:00.000,subscribe,271418,30256
2021-03-04 08:03:49.000,2021-03-04 00:00:00.000,subscribe,271419,30257
2021-03-04 08:30:01.000,2021-03-04 00:00:00.000,subscribe,271420,30258
2021-03-04 09:53:10.000,2021-03-04 00:00:00.000,subscribe,271421,30259
2021-03-04 10:30:55.000,2021-03-04 00:00:00.000,subscribe,271422,30260
2021-03-04 10:51:59.000,2021-03-04 00:00:00.000,subscribe,271423,30261
2021-03-04 11:29:52.000,2021-03-04 00:00:00.000,subscribe,271424,30262
2021-03-04 11:40:16.000,2021-03-04 00:00:00.000,subscribe,271425,30263
2021-03-04 11:54:58.000,2021-03-04 00:00:00.000,subscribe,271426,30264
2021-03-04 12:00:53.000,2021-03-04 00:00:00.000,subscribe,271427,30265
2021-03-04 13:00:43.000,2021-03-04 00:00:00.000,subscribe,271428,30266
2021-03-04 13:05:03.000,2021-03-04 00:00:00.000,subscribe,271429,30267
2021-03-04 13:11:16.000,2021-03-04 00:00:00.000,subscribe,271430,30268
2021-03-04 13:14:27.000,2021-03-04 00:00:00.000,subscribe,271431,30269
2021-03-04 13:20:56.000,2021-03-04 00:00:00.000,subscribe,271432,30270
2021-03-04 14:14:55.000,2021-03-04 00:00:00.000,subscribe,271438,30272
2021-03-04 14:00:29.000,2021-03-04 00:00:00.000,subscribe,271433,30271
2021-03-04 14:45:19.000,2021-03-04 00:00:00.000,subscribe,271448,30277
2021-03-04 14:18:18.000,2021-03-04 00:00:00.000,subscribe,271439,30273
2021-03-04 14:28:00.000,2021-03-04 00:00:00.000,subscribe,271440,30274
2021-03-04 14:34:51.000,2021-03-04 00:00:00.000,subscribe,271443,30275
2021-03-04 14:35:04.000,2021-03-04 00:00:00.000,subscribe,271444,30276
2021-03-04 15:15:09.000,2021-03-04 00:00:00.000,subscribe,271454,30282
2021-03-04 15:10:08.000,2021-03-04 00:00:00.000,subscribe,271453,30281
2021-03-04 15:06:52.000,2021-03-04 00:00:00.000,subscribe,271452,30280
2021-03-04 14:48:57.000,2021-03-04 00:00:00.000,subscribe,271449,30278
2021-03-04 15:02:01.000,2021-03-04 00:00:00.000,subscribe,271450,30279
2021-03-04 15:25:28.000,2021-03-04 00:00:00.000,subscribe,271457,30283
2021-03-04 15:46:33.000,2021-03-04 00:00:00.000,subscribe,271462,30288
2021-03-04 15:33:34.000,2021-03-04 00:00:00.000,subscribe,271459,30285
2021-03-04 15:32:26.000,2021-03-04 00:00:00.000,subscribe,271458,30284
2021-03-04 15:45:09.000,2021-03-04 00:00:00.000,subscribe,271461,30287
2021-03-04 15:37:00.000,2021-03-04 00:00:00.000,subscribe,271460,30286
2021-03-04 16:07:06.000,2021-03-04 00:00:00.000,subscribe,271471,30291
2021-03-04 16:08:55.000,2021-03-04 00:00:00.000,subscribe,271473,30293
2021-03-04 16:08:35.000,2021-03-04 00:00:00.000,subscribe,271472,30292
2021-03-04 15:59:23.000,2021-03-04 00:00:00.000,subscribe,271466,30289
2021-03-04 15:59:46.000,2021-03-04 00:00:00.000,subscribe,271467,30290
2021-03-04 16:40:53.000,2021-03-04 00:00:00.000,subscribe,271479,30294
2021-03-04 17:09:44.000,2021-03-04 00:00:00.000,subscribe,271488,30298
2021-03-04 16:53:35.000,2021-03-04 00:00:00.000,subscribe,271482,30295
2021-03-04 16:54:28.000,2021-03-04 00:00:00.000,subscribe,271483,30296
2021-03-04 17:09:19.000,2021-03-04 00:00:00.000,subscribe,271487,30297
2021-03-04 17:21:06.000,2021-03-04 00:00:00.000,subscribe,271490,30299
2021-03-04 17:33:59.000,2021-03-04 00:00:00.000,subscribe,271491,30300
2021-03-04 18:02:52.000,2021-03-04 00:00:00.000,subscribe,271495,30304
2021-03-04 18:01:33.000,2021-03-04 00:00:00.000,subscribe,271493,30302
2021-03-04 18:10:39.000,2021-03-04 00:00:00.000,subscribe,271497,30305
2021-03-04 17:51:14.000,2021-03-04 00:00:00.000,subscribe,271492,30301
2021-03-04 18:11:45.000,2021-03-04 00:00:00.000,subscribe,271498,30306
2021-03-04 18:02:32.000,2021-03-04 00:00:00.000,subscribe,271494,30303
2021-03-04 18:42:30.000,2021-03-04 00:00:00.000,subscribe,271506,30310
2021-03-04 18:24:48.000,2021-03-04 00:00:00.000,subscribe,271502,30307
2021-03-04 18:34:11.000,2021-03-04 00:00:00.000,subscribe,271504,30308
2021-03-04 18:36:56.000,2021-03-04 00:00:00.000,subscribe,271505,30309
2021-03-04 18:53:56.000,2021-03-04 00:00:00.000,subscribe,271508,30311
2021-03-04 18:58:19.000,2021-03-04 00:00:00.000,subscribe,271509,30312
2021-03-04 19:00:59.000,2021-03-04 00:00:00.000,subscribe,271511,30313
2021-03-04 19:05:55.000,2021-03-04 00:00:00.000,subscribe,271513,30314
2021-03-04 19:28:16.000,2021-03-04 00:00:00.000,subscribe,271516,30317
2021-03-04 19:33:04.000,2021-03-04 00:00:00.000,subscribe,271518,30318
2021-03-04 19:41:14.000,2021-03-04 00:00:00.000,subscribe,271520,30320
2021-03-04 19:40:03.000,2021-03-04 00:00:00.000,subscribe,271519,30319
2021-03-04 19:49:49.000,2021-03-04 00:00:00.000,subscribe,271522,30322
2021-03-04 19:46:53.000,2021-03-04 00:00:00.000,subscribe,271521,30321
2021-03-04 19:09:43.000,2021-03-04 00:00:00.000,subscribe,271514,30315
2021-03-04 19:25:56.000,2021-03-04 00:00:00.000,subscribe,271515,30316
2021-03-04 19:50:42.000,2021-03-04 00:00:00.000,subscribe,271523,30323
2021-03-04 20:03:34.000,2021-03-04 00:00:00.000,subscribe,271524,30324
2021-03-04 20:08:16.000,2021-03-04 00:00:00.000,subscribe,271525,30325
2021-03-04 20:13:46.000,2021-03-04 00:00:00.000,subscribe,271526,30326
2021-03-04 20:18:33.000,2021-03-04 00:00:00.000,subscribe,271527,30327
2021-03-04 20:20:16.000,2021-03-04 00:00:00.000,subscribe,271528,30328
2021-03-04 20:27:25.000,2021-03-04 00:00:00.000,subscribe,271530,30329
2021-03-04 20:31:12.000,2021-03-04 00:00:00.000,subscribe,271531,30330
2021-03-04 20:47:26.000,2021-03-04 00:00:00.000,subscribe,271532,30331
2021-03-04 20:59:44.000,2021-03-04 00:00:00.000,subscribe,271533,30332
2021-03-04 21:32:54.000,2021-03-04 00:00:00.000,subscribe,271538,30333
2021-03-04 21:34:40.000,2021-03-04 00:00:00.000,subscribe,271539,30334
2021-03-04 21:36:54.000,2021-03-04 00:00:00.000,subscribe,271540,30335
2021-03-04 22:03:49.000,2021-03-04 00:00:00.000,subscribe,271546,30339
2021-03-04 21:59:33.000,2021-03-04 00:00:00.000,subscribe,271545,30338
2021-03-04 21:57:36.000,2021-03-04 00:00:00.000,subscribe,271543,30336
2021-03-04 22:23:37.000,2021-03-04 00:00:00.000,subscribe,271549,30342
2021-03-04 22:13:32.000,2021-03-04 00:00:00.000,subscribe,271548,30341
2021-03-04 21:58:41.000,2021-03-04 00:00:00.000,subscribe,271544,30337
2021-03-04 22:08:34.000,2021-03-04 00:00:00.000,subscribe,271547,30340
2021-03-04 22:23:58.000,2021-03-04 00:00:00.000,subscribe,271550,30343
2021-03-04 22:38:33.000,2021-03-04 00:00:00.000,subscribe,271551,30344
2021-03-04 22:43:48.000,2021-03-04 00:00:00.000,subscribe,271552,30345
2021-03-04 22:44:41.000,2021-03-04 00:00:00.000,subscribe,271553,30346
2021-03-04 22:45:25.000,2021-03-04 00:00:00.000,subscribe,271554,30347
2021-03-04 22:56:08.000,2021-03-04 00:00:00.000,subscribe,271557,30349
2021-03-04 23:05:32.000,2021-03-04 00:00:00.000,subscribe,271560,30351
2021-03-04 23:02:14.000,2021-03-04 00:00:00.000,subscribe,271559,30350
2021-03-04 22:49:38.000,2021-03-04 00:00:00.000,subscribe,271556,30348
2021-03-04 23:14:36.000,2021-03-04 00:00:00.000,subscribe,271561,30352
